n1,n2,etype
P555346,C3329,PC
P555347,C3329,PC
P555349,C3329,PC
P555350,C3329,PC
P555351,C3329,PC
P555353,C3329,PC
P555354,C3329,PC
P555356,C3329,PC
P555358,C3329,PC
P555359,C3329,PC
P555361,C3329,PC
P555364,C3329,PC
P555365,C3329,PC
P555367,C3329,PC
P555368,C3329,PC
P555369,C3329,PC
P555371,C3329,PC
P555372,C3329,PC
P555373,C3329,PC
P555374,C3329,PC
P555375,C3329,PC
P555377,C3329,PC
P555379,C3329,PC
P555380,C3329,PC
P555381,C3329,PC
P555382,C3329,PC
P555383,C3329,PC
P555384,C3329,PC
P555385,C3329,PC
P555387,C3329,PC
P555388,C3329,PC
P555389,C3329,PC
P555390,C3329,PC
P555391,C3329,PC
P555392,C3329,PC
P555393,C3329,PC
P555394,C3329,PC
P555399,C3329,PC
P555400,C3329,PC
P555404,C3329,PC
P555405,C3329,PC
P555407,C3329,PC
P555409,C3329,PC
P555412,C3329,PC
P555414,C3329,PC
P555415,C3329,PC
P555419,C3329,PC
P555423,C3329,PC
P555424,C3329,PC
P555426,C3329,PC
P555427,C3329,PC
P555428,C3329,PC
P555429,C3329,PC
P555431,C3329,PC
P555434,C3329,PC
P555437,C3329,PC
P555439,C3329,PC
P555440,C3329,PC
P555442,C3329,PC
P555443,C3329,PC
P555444,C3329,PC
P555445,C3329,PC
P555446,C3329,PC
P555447,C3329,PC
P555448,C3329,PC
P555449,C3329,PC
P555450,C3329,PC
P555451,C3329,PC
P555452,C3329,PC
P555453,C3329,PC
P555455,C3329,PC
P555456,C3329,PC
P555457,C3329,PC
P555458,C3329,PC
P555459,C3329,PC
P555464,C3329,PC
P555465,C3329,PC
P555466,C3329,PC
P555467,C3329,PC
P555468,C3329,PC
P555471,C3329,PC
P555472,C3329,PC
P555473,C3329,PC
P555477,C3329,PC
P555478,C3329,PC
P555482,C3329,PC
P555486,C3329,PC
P555487,C3329,PC
P555490,C3329,PC
P555492,C3329,PC
P555493,C3329,PC
P555494,C3329,PC
P555496,C3329,PC
P555502,C3329,PC
P555510,C3329,PC
P555514,C3329,PC
P555518,C3329,PC
P555519,C3329,PC
P555521,C3329,PC
P555522,C3329,PC
P555524,C3329,PC
P555527,C3329,PC
P555528,C3329,PC
P555529,C3329,PC
P555535,C3329,PC
P555537,C3329,PC
P555542,C3329,PC
P555543,C3329,PC
P555544,C3329,PC
P555545,C3329,PC
P555549,C3329,PC
P555550,C3329,PC
P555551,C3329,PC
P555552,C3329,PC
P555553,C3329,PC
P555554,C3329,PC
P555555,C3329,PC
P555556,C3329,PC
P555557,C3329,PC
P555558,C3329,PC
P555559,C3329,PC
P555560,C3329,PC
P555564,C3329,PC
P555565,C3329,PC
P555568,C3329,PC
P555569,C3329,PC
P555571,C3329,PC
P555572,C3329,PC
P555577,C3329,PC
P555578,C3329,PC
P555580,C3329,PC
P555581,C3329,PC
P555582,C3329,PC
P555583,C3329,PC
P555584,C3329,PC
P555585,C3329,PC
P555586,C3329,PC
P555587,C3329,PC
P555588,C3329,PC
P555598,C3329,PC
P555599,C3329,PC
P555602,C3329,PC
P555603,C3329,PC
P555605,C3329,PC
P555607,C3329,PC
P555612,C3329,PC
P555615,C3329,PC
P555616,C3329,PC
P555617,C3329,PC
P555622,C3329,PC
P555625,C3329,PC
P555626,C3329,PC
P555627,C3329,PC
P555628,C3329,PC
P555629,C3329,PC
P555630,C3329,PC
P555631,C3329,PC
P555632,C3329,PC
P555633,C3329,PC
P555634,C3329,PC
P555637,C3329,PC
P555641,C3329,PC
P555642,C3329,PC
P555643,C3329,PC
P555644,C3329,PC
P555646,C3329,PC
P555647,C3329,PC
P555648,C3329,PC
P555649,C3329,PC
P555650,C3329,PC
P555651,C3329,PC
P555652,C3329,PC
P555658,C3329,PC
P555659,C3329,PC
P555661,C3329,PC
P555663,C3329,PC
P555664,C3329,PC
P555670,C3329,PC
P555671,C3329,PC
P555673,C3329,PC
P555674,C3329,PC
P555675,C3329,PC
P555678,C3329,PC
P555679,C3329,PC
P555680,C3329,PC
P555682,C3329,PC
P555683,C3329,PC
P555684,C3329,PC
P555687,C3329,PC
P555688,C3329,PC
P555690,C3329,PC
P555691,C3329,PC
P555692,C3329,PC
P555693,C3329,PC
P555694,C3329,PC
P555698,C3329,PC
P555700,C3329,PC
P555701,C3329,PC
P555703,C3329,PC
P555705,C3329,PC
P555707,C3329,PC
P555711,C3329,PC
P555718,C3329,PC
P555721,C3329,PC
P555723,C3329,PC
P555727,C3329,PC
P555732,C3329,PC
P555734,C3329,PC
P555736,C3329,PC
P555742,C3329,PC
P555744,C3329,PC
P555745,C3329,PC
P555749,C3329,PC
P555750,C3329,PC
P555754,C3329,PC
P555755,C3329,PC
P555756,C3329,PC
P555757,C3329,PC
P555759,C3329,PC
P555760,C3329,PC
P555762,C3329,PC
P555763,C3329,PC
P555766,C3329,PC
P555767,C3329,PC
P555768,C3329,PC
P555769,C3329,PC
P555770,C3329,PC
P555771,C3329,PC
P555774,C3329,PC
P555775,C3329,PC
P555776,C3329,PC
P555779,C3329,PC
P555781,C3329,PC
P555782,C3329,PC
P555783,C3329,PC
P555785,C3329,PC
P555786,C3329,PC
P555787,C3329,PC
P555789,C3329,PC
P555793,C3329,PC
P555794,C3329,PC
P555798,C3329,PC
P555802,C3329,PC
P555803,C3329,PC
P555804,C3329,PC
P555805,C3329,PC
P555807,C3329,PC
P555808,C3329,PC
P555809,C3329,PC
P555810,C3329,PC
P555811,C3329,PC
P555814,C3329,PC
P555816,C3329,PC
P555818,C3329,PC
P555822,C3329,PC
P555823,C3329,PC
P555824,C3329,PC
P555826,C3329,PC
P555829,C3329,PC
P555832,C3329,PC
P555834,C3329,PC
P555835,C3329,PC
P555836,C3329,PC
P555837,C3329,PC
P555847,C3329,PC
P555848,C3329,PC
P555849,C3329,PC
P555852,C3329,PC
P555858,C3329,PC
P555862,C3329,PC
P555863,C3329,PC
P555864,C3329,PC
P555865,C3329,PC
P555867,C3329,PC
P555871,C3329,PC
P555872,C3329,PC
P555873,C3329,PC
P555874,C3329,PC
P555876,C3329,PC
P555878,C3329,PC
P555880,C3329,PC
P555882,C3329,PC
P555884,C3329,PC
P555885,C3329,PC
P555886,C3329,PC
P555888,C3329,PC
P555889,C3329,PC
P555891,C3329,PC
P555892,C3329,PC
P555893,C3329,PC
P555896,C3329,PC
P555898,C3329,PC
P555899,C3329,PC
P555900,C3329,PC
P555901,C3329,PC
P555902,C3329,PC
P555903,C3329,PC
P555904,C3329,PC
P555906,C3329,PC
P555907,C3329,PC
P555910,C3329,PC
P555911,C3329,PC
P555914,C3329,PC
P555915,C3329,PC
P555920,C3329,PC
P555921,C3329,PC
P555923,C3329,PC
P555927,C3329,PC
P555932,C3329,PC
P555933,C3329,PC
P555934,C3329,PC
P555935,C3329,PC
P555936,C3329,PC
P555937,C3329,PC
P555938,C3329,PC
P555939,C3329,PC
P555945,C3329,PC
P555947,C3329,PC
P555948,C3329,PC
P555949,C3329,PC
P555951,C3329,PC
P555952,C3329,PC
P555953,C3329,PC
P555954,C3329,PC
P555956,C3329,PC
P555957,C3329,PC
P555960,C3329,PC
P555961,C3329,PC
P555964,C3329,PC
P555966,C3329,PC
P555968,C3329,PC
P555969,C3329,PC
P555972,C3329,PC
P555973,C3329,PC
P555975,C3329,PC
P555977,C3329,PC
P555979,C3329,PC
P555981,C3329,PC
P555983,C3329,PC
P555984,C3329,PC
P555985,C3329,PC
P555986,C3329,PC
P555990,C3329,PC
P555991,C3329,PC
P555994,C3329,PC
P555995,C3329,PC
P556000,C3329,PC
P556002,C3329,PC
P556003,C3329,PC
P556004,C3329,PC
P556006,C3329,PC
P556007,C3329,PC
P556009,C3329,PC
P556010,C3329,PC
P556013,C3329,PC
P556016,C3329,PC
P556018,C3329,PC
P556024,C3329,PC
P556025,C3329,PC
P556026,C3329,PC
P556027,C3329,PC
P556028,C3329,PC
P556029,C3329,PC
P556030,C3329,PC
P556032,C3329,PC
P556033,C3329,PC
P556034,C3329,PC
P556036,C3329,PC
P556038,C3329,PC
P556040,C3329,PC
P556041,C3329,PC
P556042,C3329,PC
P556044,C3329,PC
P556046,C3329,PC
P556047,C3329,PC
P556048,C3329,PC
P556051,C3329,PC
P556052,C3329,PC
P556054,C3329,PC
P556057,C3329,PC
P556058,C3329,PC
P556064,C3329,PC
P556065,C3329,PC
P556066,C3329,PC
P556067,C3329,PC
P556068,C3329,PC
P556069,C3329,PC
P556070,C3329,PC
P556073,C3329,PC
P556074,C3329,PC
P556075,C3329,PC
P556076,C3329,PC
P556078,C3329,PC
P556084,C3329,PC
P556086,C3329,PC
P556088,C3329,PC
P556089,C3329,PC
P556090,C3329,PC
P556091,C3329,PC
P556092,C3329,PC
P556093,C3329,PC
P556095,C3329,PC
P556096,C3329,PC
P556098,C3329,PC
P556100,C3329,PC
P556101,C3329,PC
P556102,C3329,PC
P556103,C3329,PC
P556104,C3329,PC
P556105,C3329,PC
P556106,C3329,PC
P556108,C3329,PC
P556109,C3329,PC
P556110,C3329,PC
P556115,C3329,PC
P556123,C3329,PC
P556129,C3329,PC
P556134,C3329,PC
P556137,C3329,PC
P556138,C3329,PC
P556141,C3329,PC
P556142,C3329,PC
P556145,C3329,PC
P556146,C3329,PC
P556147,C3329,PC
P556148,C3329,PC
P556151,C3329,PC
P556152,C3329,PC
P556153,C3329,PC
P556154,C3329,PC
P556156,C3329,PC
P556163,C3329,PC
P556164,C3329,PC
P556165,C3329,PC
P556166,C3329,PC
P556167,C3329,PC
P556168,C3329,PC
P556169,C3329,PC
P556170,C3329,PC
P556171,C3329,PC
P556173,C3329,PC
P556174,C3329,PC
P556175,C3329,PC
P556176,C3329,PC
P556178,C3329,PC
P556179,C3329,PC
P556180,C3329,PC
P556181,C3329,PC
P556183,C3329,PC
P556184,C3329,PC
P556185,C3329,PC
P556186,C3329,PC
P556188,C3329,PC
P556189,C3329,PC
P556190,C3329,PC
P556191,C3329,PC
P556192,C3329,PC
P556193,C3329,PC
P556194,C3329,PC
P556196,C3329,PC
P556197,C3329,PC
P556198,C3329,PC
P556202,C3329,PC
P556203,C3329,PC
P556204,C3329,PC
P556205,C3329,PC
P556206,C3329,PC
P556207,C3329,PC
P556208,C3329,PC
P556210,C3329,PC
P556211,C3329,PC
P556212,C3329,PC
P556213,C3329,PC
P556214,C3329,PC
P556215,C3329,PC
P556218,C3329,PC
P556219,C3329,PC
P556220,C3329,PC
P556223,C3329,PC
P556227,C3329,PC
P556228,C3329,PC
P556229,C3329,PC
P556230,C3329,PC
P556231,C3329,PC
P556232,C3329,PC
P556233,C3329,PC
P556235,C3329,PC
P556238,C3329,PC
P556239,C3329,PC
P556240,C3329,PC
P556241,C3329,PC
P556242,C3329,PC
P556243,C3329,PC
P556244,C3329,PC
P556246,C3329,PC
P556247,C3329,PC
P556248,C3329,PC
P556249,C3329,PC
P556253,C3329,PC
P556254,C3329,PC
P556255,C3329,PC
P556257,C3329,PC
P556258,C3329,PC
P556259,C3329,PC
P556260,C3329,PC
P556262,C3329,PC
P556263,C3329,PC
P556264,C3329,PC
P556266,C3329,PC
P556267,C3329,PC
P556268,C3329,PC
P556269,C3329,PC
P556270,C3329,PC
P556272,C3329,PC
P556273,C3329,PC
P556275,C3329,PC
P556277,C3329,PC
P556278,C3329,PC
P556279,C3329,PC
P556280,C3329,PC
P556282,C3329,PC
P556284,C3329,PC
P556286,C3329,PC
P556289,C3329,PC
P556290,C3329,PC
P556291,C3329,PC
P556293,C3329,PC
P556296,C3329,PC
P556298,C3329,PC
P556300,C3329,PC
P556301,C3329,PC
P556302,C3329,PC
P556303,C3329,PC
P556304,C3329,PC
P556305,C3329,PC
P556306,C3329,PC
P556309,C3329,PC
P556310,C3329,PC
P556311,C3329,PC
P556315,C3329,PC
P556316,C3329,PC
P556318,C3329,PC
P556319,C3329,PC
P556320,C3329,PC
P556321,C3329,PC
P556322,C3329,PC
P556323,C3329,PC
P556324,C3329,PC
P556325,C3329,PC
P556326,C3329,PC
P556327,C3329,PC
P556329,C3329,PC
P556330,C3329,PC
P556331,C3329,PC
P556332,C3329,PC
P556334,C3329,PC
P556335,C3329,PC
P556336,C3329,PC
P556337,C3329,PC
P556338,C3329,PC
P556339,C3329,PC
P556340,C3329,PC
P556341,C3329,PC
P556342,C3329,PC
P556346,C3329,PC
P556350,C3329,PC
P556352,C3329,PC
P556353,C3329,PC
P556354,C3329,PC
P556358,C3329,PC
P556359,C3329,PC
P556361,C3329,PC
P556362,C3329,PC
P556363,C3329,PC
P556364,C3329,PC
P556365,C3329,PC
P556366,C3329,PC
P556369,C3329,PC
P556370,C3329,PC
P556372,C3329,PC
P556373,C3329,PC
P556374,C3329,PC
P556376,C3329,PC
P556378,C3329,PC
P556379,C3329,PC
P556380,C3329,PC
P556383,C3329,PC
P556384,C3329,PC
P556385,C3329,PC
P556386,C3329,PC
P556387,C3329,PC
P556391,C3329,PC
P556393,C3329,PC
P556394,C3329,PC
P556396,C3329,PC
P556397,C3329,PC
P556398,C3329,PC
P556399,C3329,PC
P556401,C3329,PC
P556403,C3329,PC
P556404,C3329,PC
P556406,C3329,PC
P556407,C3329,PC
P556408,C3329,PC
P556410,C3329,PC
P556411,C3329,PC
P556412,C3329,PC
P556413,C3329,PC
P556414,C3329,PC
P556415,C3329,PC
P556416,C3329,PC
P556417,C3329,PC
P556419,C3329,PC
P556420,C3329,PC
P556421,C3329,PC
P556422,C3329,PC
P556423,C3329,PC
P556426,C3329,PC
P556427,C3329,PC
P556428,C3329,PC
P556429,C3329,PC
P556431,C3329,PC
P556432,C3329,PC
P556433,C3329,PC
P556434,C3329,PC
P556435,C3329,PC
P556436,C3329,PC
P556437,C3329,PC
P556438,C3329,PC
P556441,C3329,PC
P556443,C3329,PC
P556444,C3329,PC
P556445,C3329,PC
P556448,C3329,PC
P556450,C3329,PC
P556451,C3329,PC
P556452,C3329,PC
P556454,C3329,PC
P556456,C3329,PC
P556457,C3329,PC
P556458,C3329,PC
P556459,C3329,PC
P556460,C3329,PC
P556461,C3329,PC
P556463,C3329,PC
P556465,C3329,PC
P556466,C3329,PC
P556467,C3329,PC
P556470,C3329,PC
P556471,C3329,PC
P556472,C3329,PC
P556474,C3329,PC
P556476,C3329,PC
P556477,C3329,PC
P556478,C3329,PC
P556479,C3329,PC
P556480,C3329,PC
P556481,C3329,PC
P556482,C3329,PC
P556483,C3329,PC
P556484,C3329,PC
P556485,C3329,PC
P556486,C3329,PC
P556487,C3329,PC
P556489,C3329,PC
P556490,C3329,PC
P556494,C3329,PC
P556495,C3329,PC
P595320,C3594,PC
P595321,C3594,PC
P595322,C3594,PC
P595324,C3594,PC
P595325,C3594,PC
P595326,C3594,PC
P595328,C3594,PC
P595329,C3594,PC
P595330,C3594,PC
P595331,C3594,PC
P595332,C3594,PC
P595333,C3594,PC
P595334,C3594,PC
P595335,C3594,PC
P595336,C3594,PC
P595338,C3594,PC
P595339,C3594,PC
P595340,C3594,PC
P595341,C3594,PC
P595342,C3594,PC
P595345,C3594,PC
P595347,C3594,PC
P595351,C3594,PC
P595355,C3594,PC
P595357,C3594,PC
P595358,C3594,PC
P595359,C3594,PC
P595360,C3594,PC
P595361,C3594,PC
P595362,C3594,PC
P595363,C3594,PC
P595364,C3594,PC
P595365,C3594,PC
P595366,C3594,PC
P595368,C3594,PC
P595375,C3594,PC
P595376,C3594,PC
P595377,C3594,PC
P595380,C3594,PC
P595382,C3594,PC
P595383,C3594,PC
P595384,C3594,PC
P595385,C3594,PC
P595387,C3594,PC
P595388,C3594,PC
P595390,C3594,PC
P595391,C3594,PC
P595395,C3594,PC
P595397,C3594,PC
P595399,C3594,PC
P595400,C3594,PC
P595401,C3594,PC
P595402,C3594,PC
P595403,C3594,PC
P595404,C3594,PC
P595405,C3594,PC
P595406,C3594,PC
P595410,C3594,PC
P595411,C3594,PC
P595412,C3594,PC
P595413,C3594,PC
P595414,C3594,PC
P595416,C3594,PC
P595419,C3594,PC
P595420,C3594,PC
P595422,C3594,PC
P595423,C3594,PC
P595427,C3594,PC
P595430,C3594,PC
P595431,C3594,PC
P595433,C3594,PC
P595434,C3594,PC
P595435,C3594,PC
P595436,C3594,PC
P595438,C3594,PC
P595440,C3594,PC
P595442,C3594,PC
P595444,C3594,PC
P595446,C3594,PC
P595447,C3594,PC
P595452,C3594,PC
P595453,C3594,PC
P595454,C3594,PC
P595455,C3594,PC
P595456,C3594,PC
P595458,C3594,PC
P595459,C3594,PC
P595461,C3594,PC
P595462,C3594,PC
P595463,C3594,PC
P595465,C3594,PC
P595466,C3594,PC
P595468,C3594,PC
P595471,C3594,PC
P595473,C3594,PC
P595474,C3594,PC
P595478,C3594,PC
P595481,C3594,PC
P595484,C3594,PC
P595485,C3594,PC
P595487,C3594,PC
P595489,C3594,PC
P595492,C3594,PC
P595495,C3594,PC
P595497,C3594,PC
P595498,C3594,PC
P595499,C3594,PC
P595501,C3594,PC
P595502,C3594,PC
P595503,C3594,PC
P595504,C3594,PC
P595507,C3594,PC
P595508,C3594,PC
P595509,C3594,PC
P595510,C3594,PC
P595511,C3594,PC
P595512,C3594,PC
P595514,C3594,PC
P595515,C3594,PC
P595516,C3594,PC
P595517,C3594,PC
P595519,C3594,PC
P595520,C3594,PC
P595522,C3594,PC
P595525,C3594,PC
P595526,C3594,PC
P595528,C3594,PC
P595530,C3594,PC
P595531,C3594,PC
P595532,C3594,PC
P595534,C3594,PC
P595535,C3594,PC
P595537,C3594,PC
P595541,C3594,PC
P595543,C3594,PC
P595545,C3594,PC
P595546,C3594,PC
P595549,C3594,PC
P595551,C3594,PC
P595552,C3594,PC
P595553,C3594,PC
P595556,C3594,PC
P595557,C3594,PC
P595558,C3594,PC
P595559,C3594,PC
P595560,C3594,PC
P595561,C3594,PC
P595564,C3594,PC
P595567,C3594,PC
P595570,C3594,PC
P595571,C3594,PC
P595573,C3594,PC
P595575,C3594,PC
P595577,C3594,PC
P595578,C3594,PC
P595580,C3594,PC
P595581,C3594,PC
P595582,C3594,PC
P595584,C3594,PC
P595585,C3594,PC
P595586,C3594,PC
P595587,C3594,PC
P595588,C3594,PC
P595589,C3594,PC
P595590,C3594,PC
P595591,C3594,PC
P595593,C3594,PC
P595594,C3594,PC
P595595,C3594,PC
P595598,C3594,PC
P595603,C3594,PC
P595604,C3594,PC
P595605,C3594,PC
P595606,C3594,PC
P595607,C3594,PC
P595608,C3594,PC
P595609,C3594,PC
P595610,C3594,PC
P595613,C3594,PC
P595616,C3594,PC
P595617,C3594,PC
P595618,C3594,PC
P595619,C3594,PC
P595621,C3594,PC
P595622,C3594,PC
P595624,C3594,PC
P595625,C3594,PC
P595626,C3594,PC
P595627,C3594,PC
P595628,C3594,PC
P595629,C3594,PC
P595631,C3594,PC
P595632,C3594,PC
P595634,C3594,PC
P595636,C3594,PC
P595638,C3594,PC
P595639,C3594,PC
P595640,C3594,PC
P595642,C3594,PC
P595644,C3594,PC
P595646,C3594,PC
P595648,C3594,PC
P595649,C3594,PC
P595650,C3594,PC
P595653,C3594,PC
P595654,C3594,PC
P595655,C3594,PC
P595656,C3594,PC
P595657,C3594,PC
P595658,C3594,PC
P595659,C3594,PC
P595661,C3594,PC
P595663,C3594,PC
P595664,C3594,PC
P595665,C3594,PC
P595666,C3594,PC
P595667,C3594,PC
P595669,C3594,PC
P595673,C3594,PC
P595674,C3594,PC
P595675,C3594,PC
P595677,C3594,PC
P595679,C3594,PC
P595680,C3594,PC
P595684,C3594,PC
P595685,C3594,PC
P595687,C3594,PC
P595688,C3594,PC
P595690,C3594,PC
P595691,C3594,PC
P595692,C3594,PC
P595693,C3594,PC
P595695,C3594,PC
P595698,C3594,PC
P595699,C3594,PC
P595700,C3594,PC
P595701,C3594,PC
P595703,C3594,PC
P595704,C3594,PC
P595705,C3594,PC
P595706,C3594,PC
P595707,C3594,PC
P595708,C3594,PC
P595709,C3594,PC
P595710,C3594,PC
P595711,C3594,PC
P595713,C3594,PC
P595714,C3594,PC
P595715,C3594,PC
P595717,C3594,PC
P595719,C3594,PC
P595720,C3594,PC
P595721,C3594,PC
P595723,C3594,PC
P595724,C3594,PC
P595725,C3594,PC
P595729,C3594,PC
P595730,C3594,PC
P595731,C3594,PC
P595732,C3594,PC
P595733,C3594,PC
P595734,C3594,PC
P595735,C3594,PC
P595736,C3594,PC
P595739,C3594,PC
P595741,C3594,PC
P595742,C3594,PC
P595743,C3594,PC
P595744,C3594,PC
P595746,C3594,PC
P595747,C3594,PC
P595748,C3594,PC
P595749,C3594,PC
P595751,C3594,PC
P595753,C3594,PC
P595754,C3594,PC
P595756,C3594,PC
P595759,C3594,PC
P595760,C3594,PC
P595762,C3594,PC
P595763,C3594,PC
P595765,C3594,PC
P595768,C3594,PC
P595774,C3594,PC
P595776,C3594,PC
P595779,C3594,PC
P595780,C3594,PC
P595782,C3594,PC
P595783,C3594,PC
P595785,C3594,PC
P595788,C3594,PC
P595789,C3594,PC
P595791,C3594,PC
P595792,C3594,PC
P595793,C3594,PC
P595794,C3594,PC
P595795,C3594,PC
P595796,C3594,PC
P595798,C3594,PC
P595799,C3594,PC
P595801,C3594,PC
P595803,C3594,PC
P595804,C3594,PC
P595806,C3594,PC
P595809,C3594,PC
P595810,C3594,PC
P595814,C3594,PC
P595815,C3594,PC
P595817,C3594,PC
P595818,C3594,PC
P595822,C3594,PC
P595823,C3594,PC
P595824,C3594,PC
P595825,C3594,PC
P595826,C3594,PC
P595829,C3594,PC
P595833,C3594,PC
P595836,C3594,PC
P595838,C3594,PC
P595839,C3594,PC
P595840,C3594,PC
P595842,C3594,PC
P595843,C3594,PC
P595844,C3594,PC
P595845,C3594,PC
P595846,C3594,PC
P595848,C3594,PC
P595850,C3594,PC
P595852,C3594,PC
P595853,C3594,PC
P595854,C3594,PC
P595855,C3594,PC
P595856,C3594,PC
P595857,C3594,PC
P595858,C3594,PC
P595859,C3594,PC
P595860,C3594,PC
P595862,C3594,PC
P595864,C3594,PC
P595866,C3594,PC
P595867,C3594,PC
P595868,C3594,PC
P595869,C3594,PC
P595870,C3594,PC
P595872,C3594,PC
P595873,C3594,PC
P595877,C3594,PC
P595879,C3594,PC
P595880,C3594,PC
P595881,C3594,PC
P595882,C3594,PC
P595883,C3594,PC
P595886,C3594,PC
P595887,C3594,PC
P595888,C3594,PC
P595889,C3594,PC
P595890,C3594,PC
P595891,C3594,PC
P595892,C3594,PC
P595893,C3594,PC
P595895,C3594,PC
P595896,C3594,PC
P595897,C3594,PC
P595899,C3594,PC
P595900,C3594,PC
P595901,C3594,PC
P595905,C3594,PC
P595906,C3594,PC
P595907,C3594,PC
P595908,C3594,PC
P595912,C3594,PC
P595913,C3594,PC
P595914,C3594,PC
P595916,C3594,PC
P595919,C3594,PC
P595922,C3594,PC
P595924,C3594,PC
P595925,C3594,PC
P595927,C3594,PC
P595928,C3594,PC
P595929,C3594,PC
P595930,C3594,PC
P595932,C3594,PC
P595935,C3594,PC
P595938,C3594,PC
P595941,C3594,PC
P595942,C3594,PC
P595944,C3594,PC
P595945,C3594,PC
P595947,C3594,PC
P595948,C3594,PC
P595949,C3594,PC
P595951,C3594,PC
P595953,C3594,PC
P595954,C3594,PC
P595955,C3594,PC
P595957,C3594,PC
P595958,C3594,PC
P595960,C3594,PC
P595961,C3594,PC
P595963,C3594,PC
P595964,C3594,PC
P595965,C3594,PC
P595967,C3594,PC
P595974,C3594,PC
P595975,C3594,PC
P595977,C3594,PC
P595979,C3594,PC
P595980,C3594,PC
P595983,C3594,PC
P595985,C3594,PC
P595987,C3594,PC
P595989,C3594,PC
P595997,C3594,PC
P595998,C3594,PC
P596000,C3594,PC
P596007,C3594,PC
P596009,C3594,PC
P596010,C3594,PC
P596011,C3594,PC
P596013,C3594,PC
P596014,C3594,PC
P596015,C3594,PC
P596016,C3594,PC
P596017,C3594,PC
P596018,C3594,PC
P596019,C3594,PC
P596023,C3594,PC
P596025,C3594,PC
P596026,C3594,PC
P596028,C3594,PC
P596029,C3594,PC
P596030,C3594,PC
P596031,C3594,PC
P596032,C3594,PC
P596035,C3594,PC
P596036,C3594,PC
P596039,C3594,PC
P596041,C3594,PC
P596045,C3594,PC
P596046,C3594,PC
P596047,C3594,PC
P596048,C3594,PC
P596049,C3594,PC
P596051,C3594,PC
P596052,C3594,PC
P596053,C3594,PC
P596054,C3594,PC
P596055,C3594,PC
P596056,C3594,PC
P596057,C3594,PC
P596058,C3594,PC
P596059,C3594,PC
P596060,C3594,PC
P596061,C3594,PC
P596062,C3594,PC
P596063,C3594,PC
P596064,C3594,PC
P596065,C3594,PC
P596067,C3594,PC
P596075,C3594,PC
P596076,C3594,PC
P596077,C3594,PC
P596078,C3594,PC
P596080,C3594,PC
P596081,C3594,PC
P596082,C3594,PC
P596083,C3594,PC
P596084,C3594,PC
P596085,C3594,PC
P596087,C3594,PC
P596088,C3594,PC
P596089,C3594,PC
P596092,C3594,PC
P596093,C3594,PC
P596094,C3594,PC
P596095,C3594,PC
P596096,C3594,PC
P596098,C3594,PC
P596099,C3594,PC
P596100,C3594,PC
P596102,C3594,PC
P596103,C3594,PC
P596104,C3594,PC
P596105,C3594,PC
P596106,C3594,PC
P596107,C3594,PC
P596108,C3594,PC
P596109,C3594,PC
P596110,C3594,PC
P596111,C3594,PC
P596112,C3594,PC
P596113,C3594,PC
P596115,C3594,PC
P596117,C3594,PC
P596118,C3594,PC
P596119,C3594,PC
P596121,C3594,PC
P596122,C3594,PC
P596123,C3594,PC
P596124,C3594,PC
P596125,C3594,PC
P596126,C3594,PC
P596128,C3594,PC
P596130,C3594,PC
P596132,C3594,PC
P596133,C3594,PC
P596134,C3594,PC
P596135,C3594,PC
P596137,C3594,PC
P596140,C3594,PC
P596141,C3594,PC
P596142,C3594,PC
P596143,C3594,PC
P596144,C3594,PC
P596146,C3594,PC
P596147,C3594,PC
P596149,C3594,PC
P596150,C3594,PC
P596152,C3594,PC
P596153,C3594,PC
P596154,C3594,PC
P596159,C3594,PC
P596160,C3594,PC
P596162,C3594,PC
P596165,C3594,PC
P596167,C3594,PC
P596168,C3594,PC
P596170,C3594,PC
P596171,C3594,PC
P596173,C3594,PC
P596174,C3594,PC
P596175,C3594,PC
P596177,C3594,PC
P596181,C3594,PC
P596182,C3594,PC
P596183,C3594,PC
P596185,C3594,PC
P596186,C3594,PC
P596191,C3594,PC
P596192,C3594,PC
P596193,C3594,PC
P596195,C3594,PC
P596196,C3594,PC
P596197,C3594,PC
P596201,C3594,PC
P596204,C3594,PC
P596205,C3594,PC
P596206,C3594,PC
P596207,C3594,PC
P596208,C3594,PC
P596210,C3594,PC
P596212,C3594,PC
P596214,C3594,PC
P596215,C3594,PC
P596217,C3594,PC
P596218,C3594,PC
P596219,C3594,PC
P596220,C3594,PC
P596221,C3594,PC
P596222,C3594,PC
P596223,C3594,PC
P596224,C3594,PC
P596225,C3594,PC
P596226,C3594,PC
P596229,C3594,PC
P596231,C3594,PC
P596232,C3594,PC
P596233,C3594,PC
P596234,C3594,PC
P596236,C3594,PC
P596239,C3594,PC
P596243,C3594,PC
P596244,C3594,PC
P596245,C3594,PC
P596247,C3594,PC
P596248,C3594,PC
P596252,C3594,PC
P596253,C3594,PC
P596254,C3594,PC
P596255,C3594,PC
P596256,C3594,PC
P596259,C3594,PC
P596260,C3594,PC
P596261,C3594,PC
P596262,C3594,PC
P596263,C3594,PC
P596264,C3594,PC
P596265,C3594,PC
P596266,C3594,PC
P596271,C3594,PC
P596272,C3594,PC
P596274,C3594,PC
P596276,C3594,PC
P596277,C3594,PC
P596279,C3594,PC
P596280,C3594,PC
P596282,C3594,PC
P596283,C3594,PC
P596289,C3594,PC
P596290,C3594,PC
P596291,C3594,PC
P596292,C3594,PC
